SIC Code,Level 3 Term,Mapped NAICS,SIC Description,Source,Subcategory,Subcategory 2
100,100 - AGRICULTURAL PRODUCTION-CROPS,,AGRICULTURAL PRODUCTION-CROPS,Standard Industrial Classification Codes,"Agriculture, Forestry & Fishing",Agricultural Production
200,200 - AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES,,AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES,Standard Industrial Classification Codes,"Agriculture, Forestry & Fishing",Agricultural Production
700,700 - AGRICULTURAL SERVICES,,AGRICULTURAL SERVICES,Standard Industrial Classification Codes,"Agriculture, Forestry & Fishing",Agricultural Services
800,800 - FORESTRY,,FORESTRY,Standard Industrial Classification Codes,"Agriculture, Forestry & Fishing",Forestry & Fishing
900,"900 - FISHING, HUNTING AND TRAPPING",,"FISHING, HUNTING AND TRAPPING",Standard Industrial Classification Codes,"Agriculture, Forestry & Fishing",Forestry & Fishing
1000,1000 - METAL MINING,,METAL MINING,Standard Industrial Classification Codes,Mining & Extraction,Metal Mining
1040,1040 - GOLD AND SILVER ORES,,GOLD AND SILVER ORES,Standard Industrial Classification Codes,Mining & Extraction,Metal Mining
1090,1090 - MISCELLANEOUS METAL ORES,,MISCELLANEOUS METAL ORES,Standard Industrial Classification Codes,Mining & Extraction,Metal Mining
1220,1220 - BITUMINOUS COAL & LIGNITE MINING,,BITUMINOUS COAL & LIGNITE MINING,Standard Industrial Classification Codes,Mining & Extraction,Coal Mining
1221,1221 - BITUMINOUS COAL & LIGNITE SURFACE MINING,,BITUMINOUS COAL & LIGNITE SURFACE MINING,Standard Industrial Classification Codes,Mining & Extraction,Coal Mining
1311,1311 - CRUDE PETROLEUM & NATURAL GAS,,CRUDE PETROLEUM & NATURAL GAS,Standard Industrial Classification Codes,Mining & Extraction,Oil & Gas Extraction
1381,1381 - DRILLING OIL & GAS WELLS,,DRILLING OIL & GAS WELLS,Standard Industrial Classification Codes,Mining & Extraction,Oil & Gas Extraction
1382,1382 - OIL & GAS FIELD EXPLORATION SERVICES,,OIL & GAS FIELD EXPLORATION SERVICES,Standard Industrial Classification Codes,Mining & Extraction,Oil & Gas Extraction
1389,"1389 - OIL & GAS FIELD SERVICES, NEC",,"OIL & GAS FIELD SERVICES, NEC",Standard Industrial Classification Codes,Mining & Extraction,Oil & Gas Extraction
1400,1400 - MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),Standard Industrial Classification Codes,Mining & Extraction,Nonmetallic Minerals
1520,1520 - GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,Standard Industrial Classification Codes,Construction,General Building Contractors
1531,1531 - OPERATIVE BUILDERS,,OPERATIVE BUILDERS,Standard Industrial Classification Codes,Construction,General Building Contractors
1540,1540 - GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS,,GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS,Standard Industrial Classification Codes,Construction,General Building Contractors
1600,1600 - HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,Standard Industrial Classification Codes,Construction,Heavy Construction
1623,"1623 - WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION",,"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION",Standard Industrial Classification Codes,Construction,Heavy Construction
1700,1700 - CONSTRUCTION - SPECIAL TRADE CONTRACTORS,,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,Standard Industrial Classification Codes,Construction,Special Trade Contractors
1731,1731 - ELECTRICAL WORK,,ELECTRICAL WORK,Standard Industrial Classification Codes,Construction,Special Trade Contractors
2000,2000 - FOOD AND KINDRED PRODUCTS,,FOOD AND KINDRED PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2011,2011 - MEAT PACKING PLANTS,,MEAT PACKING PLANTS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2013,2013 - SAUSAGES & OTHER PREPARED MEAT PRODUCTS,,SAUSAGES & OTHER PREPARED MEAT PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2015,2015 - POULTRY SLAUGHTERING AND PROCESSING,,POULTRY SLAUGHTERING AND PROCESSING,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2020,2020 - DAIRY PRODUCTS,,DAIRY PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2024,2024 - ICE CREAM & FROZEN DESSERTS,,ICE CREAM & FROZEN DESSERTS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2030,"2030 - CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2033,"2033 - CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES",,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES",Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2040,2040 - GRAIN MILL PRODUCTS,,GRAIN MILL PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2050,2050 - BAKERY PRODUCTS,,BAKERY PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2052,2052 - COOKIES & CRACKERS,,COOKIES & CRACKERS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2060,2060 - SUGAR & CONFECTIONERY PRODUCTS,,SUGAR & CONFECTIONERY PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2070,2070 - FATS & OILS,,FATS & OILS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2080,2080 - BEVERAGES,,BEVERAGES,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2082,2082 - MALT BEVERAGES,,MALT BEVERAGES,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2086,2086 - BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS,,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2090,2090 - MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS,,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2092,2092 - PREPARED FRESH OR FROZEN FISH & SEAFOODS,,PREPARED FRESH OR FROZEN FISH & SEAFOODS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2100,2100 - TOBACCO PRODUCTS,,TOBACCO PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2111,2111 - CIGARETTES,,CIGARETTES,Standard Industrial Classification Codes,Manufacturing,Food & Beverages
2200,2200 - TEXTILE MILL PRODUCTS,,TEXTILE MILL PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Textiles & Apparel
2211,"2211 - BROADWOVEN FABRIC MILLS, COTTON",,"BROADWOVEN FABRIC MILLS, COTTON",Standard Industrial Classification Codes,Manufacturing,Textiles & Apparel
2221,"2221 - BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK",,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK",Standard Industrial Classification Codes,Manufacturing,Textiles & Apparel
2250,2250 - KNITTING MILLS,,KNITTING MILLS,Standard Industrial Classification Codes,Manufacturing,Textiles & Apparel
2253,2253 - KNIT OUTERWEAR MILLS,,KNIT OUTERWEAR MILLS,Standard Industrial Classification Codes,Manufacturing,Textiles & Apparel
2273,2273 - CARPETS & RUGS,,CARPETS & RUGS,Standard Industrial Classification Codes,Manufacturing,Textiles & Apparel
2300,2300 - APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,Standard Industrial Classification Codes,Manufacturing,Textiles & Apparel
2320,"2320 - MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",Standard Industrial Classification Codes,Manufacturing,Textiles & Apparel
2330,"2330 - WOMEN'S, MISSES', AND JUNIORS OUTERWEAR",,"WOMEN'S, MISSES', AND JUNIORS OUTERWEAR",Standard Industrial Classification Codes,Manufacturing,Textiles & Apparel
2340,"2340 - WOMEN'S, MISSES', CHILDREN'S & INFANTS' UNDERGARMENTS",,"WOMEN'S, MISSES', CHILDREN'S & INFANTS' UNDERGARMENTS",Standard Industrial Classification Codes,Manufacturing,Textiles & Apparel
2390,2390 - MISCELLANEOUS FABRICATED TEXTILE PRODUCTS,,MISCELLANEOUS FABRICATED TEXTILE PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Textiles & Apparel
2400,2400 - LUMBER & WOOD PRODUCTS (NO FURNITURE),,LUMBER & WOOD PRODUCTS (NO FURNITURE),Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2421,"2421 - SAWMILLS & PLANTING MILLS, GENERAL",,"SAWMILLS & PLANTING MILLS, GENERAL",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2430,"2430 - MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS",,"MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2451,2451 - MOBILE HOMES,,MOBILE HOMES,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2452,2452 - PREFABRICATED WOOD BLDGS & COMPONENTS,,PREFABRICATED WOOD BLDGS & COMPONENTS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2510,2510 - HOUSEHOLD FURNITURE,,HOUSEHOLD FURNITURE,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2511,"2511 - WOOD HOUSEHOLD FURNITURE, (NO UPHOLSTERED)",,"WOOD HOUSEHOLD FURNITURE, (NO UPHOLSTERED)",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2520,2520 - OFFICE FURNITURE,,OFFICE FURNITURE,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2522,2522 - OFFICE FURNITURE (NO WOOD),,OFFICE FURNITURE (NO WOOD),Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2531,2531 - PUBLIC BLDG & RELATED FURNITURE,,PUBLIC BLDG & RELATED FURNITURE,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2540,"2540 - PARTITIONS, SHELVG, LOCKERS, & OFFICE & STORE FIXTURES",,"PARTITIONS, SHELVG, LOCKERS, & OFFICE & STORE FIXTURES",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2590,2590 - MISCELLANEOUS FURNITURE & FIXTURES,,MISCELLANEOUS FURNITURE & FIXTURES,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2600,2600 - PAPERS & ALLIED PRODUCTS,,PAPERS & ALLIED PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2611,2611 - PULP MILLS,,PULP MILLS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2621,2621 - PAPER MILLS,,PAPER MILLS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2631,2631 - PAPERBOARD MILLS,,PAPERBOARD MILLS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2650,2650 - PAPERBOARD CONTAINERS & BOXES,,PAPERBOARD CONTAINERS & BOXES,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2670,2670 - CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2673,"2673 - PLASTICS, FOIL & COATED PAPER BAGS",,"PLASTICS, FOIL & COATED PAPER BAGS",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2711,2711 - NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2721,2721 - PERIODICALS: PUBLISHING OR PUBLISHING & PRINTING,,PERIODICALS: PUBLISHING OR PUBLISHING & PRINTING,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2731,2731 - BOOKS: PUBLISHING OR PUBLISHING & PRINTING,,BOOKS: PUBLISHING OR PUBLISHING & PRINTING,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2732,2732 - BOOK PRINTING,,BOOK PRINTING,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2741,2741 - MISCELLANEOUS PUBLISHING,,MISCELLANEOUS PUBLISHING,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2750,2750 - COMMERCIAL PRINTING,,COMMERCIAL PRINTING,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2761,2761 - MANIFOLD BUSINESS FORMS,,MANIFOLD BUSINESS FORMS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2771,2771 - GREETING CARDS,,GREETING CARDS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2780,"2780 - BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2790,2790 - SERVICE INDUSTRIES FOR THE PRINTING TRADE,,SERVICE INDUSTRIES FOR THE PRINTING TRADE,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2800,2800 - CHEMICALS & ALLIED PRODUCTS,,CHEMICALS & ALLIED PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2810,2810 - INDUSTRIAL INORGANIC CHEMICALS,,INDUSTRIAL INORGANIC CHEMICALS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2820,"2820 - PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2821,"2821 - PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2833,2833 - MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2834,2834 - PHARMACEUTICAL PREPARATIONS,,PHARMACEUTICAL PREPARATIONS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2835,2835 - IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2836,"2836 - BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2840,"2840 - SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2842,"2842 - SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS",,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2844,"2844 - PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2851,"2851 - PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS",,"PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS",Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2860,2860 - INDUSTRIAL ORGANIC CHEMICALS,,INDUSTRIAL ORGANIC CHEMICALS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2870,2870 - AGRICULTURAL CHEMICALS,,AGRICULTURAL CHEMICALS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2890,2890 - MISCELLANEOUS CHEMICAL PRODUCTS,,MISCELLANEOUS CHEMICAL PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2891,2891 - ADHESIVES & SEALANTS,,ADHESIVES & SEALANTS,Standard Industrial Classification Codes,Manufacturing,Paper & Chemicals
2911,2911 - PETROLEUM REFINING,,PETROLEUM REFINING,Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
2950,2950 - ASPHALT PAVING & ROOFING MATERIALS,,ASPHALT PAVING & ROOFING MATERIALS,Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
2990,2990 - MISCELLANEOUS PRODUCTS OF PETROLEUM & COAL,,MISCELLANEOUS PRODUCTS OF PETROLEUM & COAL,Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
3011,3011 - TIRES & INNER TUBES,,TIRES & INNER TUBES,Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
3021,3021 - RUBBER & PLASTICS FOOTWEAR,,RUBBER & PLASTICS FOOTWEAR,Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
3050,"3050 - GASKETS, PACKG & SEALG DEVICES & RUBBER & PLASTICS HOSE",,"GASKETS, PACKG & SEALG DEVICES & RUBBER & PLASTICS HOSE",Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
3060,"3060 - FABRICATED RUBBER PRODUCTS, NEC",,"FABRICATED RUBBER PRODUCTS, NEC",Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
3080,3080 - MISCELLANEOUS PLASTICS PRODUCTS,,MISCELLANEOUS PLASTICS PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
3081,3081 - UNSUPPORTED PLASTICS FILM & SHEET,,UNSUPPORTED PLASTICS FILM & SHEET,Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
3086,3086 - PLASTICS FOAM PRODUCTS,,PLASTICS FOAM PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
3089,"3089 - PLASTICS PRODUCTS, NEC",,"PLASTICS PRODUCTS, NEC",Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
3100,3100 - LEATHER & LEATHER PRODUCTS,,LEATHER & LEATHER PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
3140,"3140 - FOOTWEAR, (NO RUBBER)",,"FOOTWEAR, (NO RUBBER)",Standard Industrial Classification Codes,Manufacturing,Petroleum & Rubber
3211,3211 - FLAT GLASS,,FLAT GLASS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3220,"3220 - GLASS & GLASSWARE, PRESSED OR BLOWN",,"GLASS & GLASSWARE, PRESSED OR BLOWN",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3221,3221 - GLASS CONTAINERS,,GLASS CONTAINERS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3231,"3231 - GLASS PRODUCTS, MADE OF PURCHASED GLASS",,"GLASS PRODUCTS, MADE OF PURCHASED GLASS",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3241,"3241 - CEMENT, HYDRAULIC",,"CEMENT, HYDRAULIC",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3250,3250 - STRUCTURAL CLAY PRODUCTS,,STRUCTURAL CLAY PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3260,3260 - POTTERY & RELATED PRODUCTS,,POTTERY & RELATED PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3270,"3270 - CONCRETE, GYPSUM & PLASTER PRODUCTS",,"CONCRETE, GYPSUM & PLASTER PRODUCTS",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3272,"3272 - CONCRETE PRODUCTS, EXCEPT BLOCK & BRICK",,"CONCRETE PRODUCTS, EXCEPT BLOCK & BRICK",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3281,3281 - CUT STONE & STONE PRODUCTS,,CUT STONE & STONE PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3290,"3290 - ABRASIVE, ASBESTOS & MISC NONMETALLIC MINERAL PRODS",,"ABRASIVE, ASBESTOS & MISC NONMETALLIC MINERAL PRODS",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3310,"3310 - STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS",,"STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3312,"3312 - STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3317,3317 - STEEL PIPE & TUBES,,STEEL PIPE & TUBES,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3320,3320 - IRON & STEEL FOUNDRIES,,IRON & STEEL FOUNDRIES,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3330,3330 - PRIMARY SMELTING & REFINING OF NONFERROUS METALS,,PRIMARY SMELTING & REFINING OF NONFERROUS METALS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3334,3334 - PRIMARY PRODUCTION OF ALUMINUM,,PRIMARY PRODUCTION OF ALUMINUM,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3341,3341 - SECONDARY SMELTING & REFINING OF NONFERROUS METALS,,SECONDARY SMELTING & REFINING OF NONFERROUS METALS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3350,3350 - ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3357,3357 - DRAWING & INSULATING OF NONFERROUS WIRE,,DRAWING & INSULATING OF NONFERROUS WIRE,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3360,3360 - NONFERROUS FOUNDRIES (CASTINGS),,NONFERROUS FOUNDRIES (CASTINGS),Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3390,3390 - MISCELLANEOUS PRIMARY METAL PRODUCTS,,MISCELLANEOUS PRIMARY METAL PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3411,3411 - METAL CANS,,METAL CANS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3412,"3412 - METAL SHIPPING BARRELS, DRUMS, KEGS & PAILS",,"METAL SHIPPING BARRELS, DRUMS, KEGS & PAILS",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3420,"3420 - CUTLERY, HANDTOOLS & GENERAL HARDWARE",,"CUTLERY, HANDTOOLS & GENERAL HARDWARE",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3430,"3430 - HEATING EQUIP, EXCEPT ELEC & WARM AIR; & PLUMBING FIXTURES",,"HEATING EQUIP, EXCEPT ELEC & WARM AIR; & PLUMBING FIXTURES",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3433,"3433 - HEATING EQUIPMENT, EXCEPT ELECTRIC & WARM AIR FURNACES",,"HEATING EQUIPMENT, EXCEPT ELECTRIC & WARM AIR FURNACES",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3440,3440 - FABRICATED STRUCTURAL METAL PRODUCTS,,FABRICATED STRUCTURAL METAL PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3442,"3442 - METAL DOORS, SASH, FRAMES, MOLDINGS & TRIM",,"METAL DOORS, SASH, FRAMES, MOLDINGS & TRIM",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3443,3443 - FABRICATED PLATE WORK (BOILER SHOPS),,FABRICATED PLATE WORK (BOILER SHOPS),Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3444,3444 - SHEET METAL WORK,,SHEET METAL WORK,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3448,3448 - PREFABRICATED METAL BUILDINGS & COMPONENTS,,PREFABRICATED METAL BUILDINGS & COMPONENTS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3451,3451 - SCREW MACHINE PRODUCTS,,SCREW MACHINE PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3452,"3452 - BOLTS, NUTS, SCREWS, RIVETS & WASHERS",,"BOLTS, NUTS, SCREWS, RIVETS & WASHERS",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3460,3460 - METAL FORGINGS & STAMPINGS,,METAL FORGINGS & STAMPINGS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3470,"3470 - COATING, ENGRAVING & ALLIED SERVICES",,"COATING, ENGRAVING & ALLIED SERVICES",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3480,"3480 - ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)",,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3490,3490 - MISCELLANEOUS FABRICATED METAL PRODUCTS,,MISCELLANEOUS FABRICATED METAL PRODUCTS,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3510,3510 - ENGINES & TURBINES,,ENGINES & TURBINES,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3523,3523 - FARM MACHINERY & EQUIPMENT,,FARM MACHINERY & EQUIPMENT,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3524,3524 - LAWN & GARDEN TRACTORS & HOME LAWN & GARDENS EQUIP,,LAWN & GARDEN TRACTORS & HOME LAWN & GARDENS EQUIP,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3530,"3530 - CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP",,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP",Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
3531,3531 - CONSTRUCTION MACHINERY & EQUIP,,CONSTRUCTION MACHINERY & EQUIP,Standard Industrial Classification Codes,Manufacturing,Metal & Machinery
